intensity,channel,timestamp,azimuth,altitude,distance_m,x,y,z
65,21,3369448852704,52,333,0,0,0,0
100,22,3369448855008,332,233,1.292,0.07476095,1.2887626,0.052593805
14,23,3369448855008,52,-266,1.284,0.011640432,1.2825565,-0.059745964
12,24,3369448857312,332,-300,1.296,0.07495175,1.2920518,-0.0678274
36,25,3369448857312,52,700,1.2,0.010809527,1.1910063,0.14624323
56,26,3369448859616,332,466,1.312,0.07572929,1.3054553,0.1067502
29,27,3369448859616,35772,-233,1.3360001,-0.05310579,1.333836,-0.05438493
64,28,3369448861920,612,-200,1.312,0.13978863,1.303728,-0.04578814
66,29,3369448861920,52,1500,1.3160001,0.011536509,1.2711061,0.34060588
36,30,3369448864224,332,1033,1.2520001,0.071330555,1.2296278,0.22456984
69,31,3369448864224,52,-133,1.268,0.01150473,1.2676047,-0.029497659
4,0,3369448884960,350,-2500,2.056,0.11375594,1.8598932,-0.86890316
50,1,3369448884960,35790,-100,1.312,-0.048069224,1.3109192,-0.022897556
100,2,3369448887264,350,-166,1.2880001,0.078597255,1.2850537,-0.037468612
2,3,3369448887264,70,-1563,3.072,0.036141217,2.9580517,-0.8281355
10,4,3369448889568,350,-1131,1.284,0.07686411,1.256717,-0.2518146
71,5,3369448889568,70,0,1.276,0.015588894,1.2759048,0
100,6,3369448891872,630,-66,1.3520001,0.14835073,1.3437443,-0.015738746
8,7,3369448891872,70,-884,1.296,0.015645029,1.2804992,-0.19923079
15,8,3369448894176,350,-725,1.2800001,0.0775167,1.2673868,-0.16162334
51,9,3369448894176,35790,33,1.3160001,-0.048222307,1.3150941,0.007648479
48,10,3369448896480,350,-33,1.3000001,0.07936177,1.2975534,-0.0075554885
12,11,3369448896480,70,-614,1.2880001,0.015644997,1.2804967,-0.137941
10,12,3369448898784,630,-533,1.32,0.14422229,1.3063493,-0.12268618
67,13,3369448898784,70,133,1.2800001,0.01563353,1.2795582,0.029776819
14,14,3369448901088,630,66,1.348,0.14791183,1.3397686,0.01569218
11,15,3369448901088,70,-400,1.292,0.015745915,1.2887566,-0.09012537
20,16,3369448903392,350,-466,1.268,0.07715289,1.2614386,-0.10317016
25,17,3369448903392,35790,166,1.3080001,-0.04790969,1.3065685,0.03805042
30,18,3369448905696,350,100,1.2800001,0.07813024,1.2774181,0.022339081
4,19,3369448905696,35790,-366,1.404,-0.05134243,1.4001845,-0.089796394
13,20,3369448908000,630,-333,1.348,0.14767164,1.3375931,-0.078371406
45,21,3369448908000,70,333,1.228,0.0149771,1.2258314,0.07139472
53,22,3369448910304,350,233,1.3000001,0.07929733,1.2964997,0.052919466
15,23,3369448910304,70,-266,1.292,0.015767269,1.2905043,-0.060118213
12,24,3369448912608,350,-300,1.296,0.07901048,1.2918099,-0.0678274
40,25,3369448912608,70,700,1.2040001,0.01459963,1.1949365,0.1467307
53,26,3369448914912,350,466,1.32,0.080316894,1.3131696,0.10740111
31,27,3369448914912,35790,-233,1.3280001,-0.048622508,1.3260081,-0.05405927
47,28,3369448917216,630,-200,1.32,0.14476106,1.3112293,-0.046067335
71,29,3369448917216,70,1500,1.3240001,0.01562415,1.2787904,0.34267643
40,30,3369448919520,350,1033,1.2600001,0.07567365,1.2372532,0.2260048
73,31,3369448919520,70,-133,1.2720001,0.015535822,1.271561,-0.029590713
2,0,3369448940256,370,-2500,2.052,0.120013535,1.8558671,-0.8672127
49,1,3369448940256,35810,-100,1.312,-0.043492623,1.311079,-0.022897556
100,2,3369448942560,370,-166,1.2880001,0.08308244,1.2847716,-0.037468612
1,3,3369448942560,90,-1563,0,0,0,-0
